paso13_action_support_id	book	chapter	verse	reference	stream_index	predication_id	subject_support	verb_support	scope_support	paso9_candidate_labels	continuity_field_state	minimal_action_support	confidence	evidence	final_action_statement_assigned
P1300001	1corintios	1	4	1:4	1	1corintios-1-4-P01	implicit-1S	εὐχαριστῶ		"[""EXPONE""]"	recovering	implicit-1S — εὐχαριστῶ	low	"[""verb:εὐχαριστῶ"", ""subject:implicit-1S"", ""field:recovering"", ""paso9:EXPONE""]"	False
P1300002	1corintios	1	5	1:5	2	1corintios-1-5-P01	implicit-2P	ἐπλουτίσθητε		"[""ACLARA""]"	unstable	implicit-2P — ἐπλουτίσθητε	low	"[""verb:ἐπλουτίσθητε"", ""subject:implicit-2P"", ""field:unstable"", ""paso9:ACLARA""]"	False
P1300003	1corintios	1	6	1:6	3	1corintios-1-6-P01	unknown	ἐβεβαιώθη		"[""RAZÓN"", ""ACLARA""]"	unstable	sujeto no resuelto — ἐβεβαιώθη	low	"[""verb:ἐβεβαιώθη"", ""subject:unknown"", ""field:unstable"", ""paso9:RAZÓN,ACLARA""]"	False
P1300004	1corintios	1	8	1:8	4	1corintios-1-8-P01	implicit-3S	βεβαιώσει		"[""ACLARA"", ""EXPONE""]"	stable	implicit-3S — βεβαιώσει	low	"[""verb:βεβαιώσει"", ""subject:implicit-3S"", ""field:stable"", ""paso9:ACLARA,EXPONE""]"	False
P1300005	1corintios	1	9	1:9	5	1corintios-1-9-P01	implicit-2P	ἐκλήθητε		"[""ACLARA""]"	unstable	implicit-2P — ἐκλήθητε	low	"[""verb:ἐκλήθητε"", ""subject:implicit-2P"", ""field:unstable"", ""paso9:ACLARA""]"	False
P1300006	1corintios	1	10	1:10	6	1corintios-1-10-P01	implicit-1S	παρακαλῶ		"[""ACLARA""]"	unstable	implicit-1S — παρακαλῶ	low	"[""verb:παρακαλῶ"", ""subject:implicit-1S"", ""field:unstable"", ""paso9:ACLARA""]"	False
P1300007	1corintios	1	10	1:10	7	1corintios-1-10-P02	implicit-2P	λέγητε		"[""ACLARA""]"	unstable	implicit-2P — λέγητε	low	"[""verb:λέγητε"", ""subject:implicit-2P"", ""field:unstable"", ""paso9:ACLARA""]"	False
P1300008	1corintios	1	10	1:10	8	1corintios-1-10-P03	implicit-3S	ᾖ		"[""PROPÓSITO"", ""ACLARA""]"	unstable	implicit-3S — ᾖ	low	"[""verb:ᾖ"", ""subject:implicit-3S"", ""field:unstable"", ""paso9:PROPÓSITO,ACLARA""]"	False
P1300009	1corintios	1	10	1:10	9	1corintios-1-10-P04	implicit-2P	ἦτε		"[""ACLARA""]"	unstable	implicit-2P — ἦτε	low	"[""verb:ἦτε"", ""subject:implicit-2P"", ""field:unstable"", ""paso9:ACLARA""]"	False
P1300010	1corintios	1	11	1:11	10	1corintios-1-11-P01	implicit-3S	ἐδηλώθη		"[""ACLARA""]"	unstable	implicit-3S — ἐδηλώθη	low	"[""verb:ἐδηλώθη"", ""subject:implicit-3S"", ""field:unstable"", ""paso9:ACLARA""]"	False
