movement_regime_id	group_index	book	start_stream_index	end_stream_index	start_reference	end_reference	record_count	dominant_movement_status	movement_status_counts	movement_reason_counts	first_predication_id	last_predication_id
MR0001	1	1corintios	1	1	1:4	1:4	1	strong	"{""strong"": 1}"	"{""stream_start"": 1}"	1corintios-1-4-P01	1corintios-1-4-P01
MR0002	2	1corintios	2	2	1:5	1:5	1	strong	"{""strong"": 1}"	"{""independence_transition"": 1, ""number_change"": 1, ""person_change"": 1, ""subordination_transition"": 1}"	1corintios-1-5-P01	1corintios-1-5-P01
MR0003	3	1corintios	3	3	1:6	1:6	1	none	"{""none"": 1}"	{}	1corintios-1-6-P01	1corintios-1-6-P01
MR0004	4	1corintios	4	4	1:8	1:8	1	strong	"{""strong"": 1}"	"{""independence_transition"": 1, ""number_change"": 1, ""person_change"": 1, ""subordination_transition"": 1}"	1corintios-1-8-P01	1corintios-1-8-P01
MR0005	5	1corintios	5	5	1:9	1:9	1	candidate	"{""candidate"": 1}"	"{""number_change"": 1, ""person_change"": 1}"	1corintios-1-9-P01	1corintios-1-9-P01
MR0006	6	1corintios	6	6	1:10	1:10	1	candidate	"{""candidate"": 1}"	"{""number_change"": 1, ""person_change"": 1}"	1corintios-1-10-P01	1corintios-1-10-P01
MR0007	7	1corintios	7	7	1:10	1:10	1	strong	"{""strong"": 1}"	"{""independence_transition"": 1, ""number_change"": 1, ""person_change"": 1, ""subordination_transition"": 1}"	1corintios-1-10-P02	1corintios-1-10-P02
MR0008	8	1corintios	8	8	1:10	1:10	1	strong	"{""strong"": 1}"	"{""independence_transition"": 1, ""number_change"": 1, ""person_change"": 1, ""subordination_transition"": 1}"	1corintios-1-10-P03	1corintios-1-10-P03
MR0009	9	1corintios	9	9	1:10	1:10	1	candidate	"{""candidate"": 1}"	"{""number_change"": 1, ""person_change"": 1}"	1corintios-1-10-P04	1corintios-1-10-P04
MR0010	10	1corintios	10	10	1:11	1:11	1	candidate	"{""candidate"": 1}"	"{""number_change"": 1, ""person_change"": 1}"	1corintios-1-11-P01	1corintios-1-11-P01
MR0011	11	1corintios	11	11	1:11	1:11	1	candidate	"{""candidate"": 1}"	"{""independence_transition"": 1, ""subordination_transition"": 1}"	1corintios-1-11-P02	1corintios-1-11-P02
MR0012	12	1corintios	12	12	1:12	1:12	1	candidate	"{""candidate"": 1}"	"{""independence_transition"": 1, ""subordination_transition"": 1}"	1corintios-1-12-P01	1corintios-1-12-P01
MR0013	13	1corintios	13	13	1:12	1:12	1	candidate	"{""candidate"": 1}"	"{""independence_transition"": 1, ""subordination_transition"": 1}"	1corintios-1-12-P02	1corintios-1-12-P02
MR0014	14	1corintios	14	14	1:12	1:12	1	candidate	"{""candidate"": 1}"	"{""independence_transition"": 1, ""subordination_transition"": 1}"	1corintios-1-12-P03	1corintios-1-12-P03
MR0015	15	1corintios	15	15	1:13	1:13	1	candidate	"{""candidate"": 1}"	"{""person_change"": 1}"	1corintios-1-13-P01	1corintios-1-13-P01
