summary_type	name	count
connector_surface	εαν	45
connector_surface	ει	57
connector_surface	ινα	56
connector_surface	καθως	18
connector_surface	οταν	12
connector_surface	οτι	55
connector_surface	ως	21
connector_surface	ωστε	12
connector_class	comparative	39
connector_class	conditional	102
connector_class	explanatory	55
connector_class	inferential	12
connector_class	purpose	56
connector_class	temporal	12
dependency_type	result	12
dependency_type	subordination	264
direction	backward_local	12
direction	forward_or_embedded_local	264
